,,,,,,,,
,Salesman_ID,Year,Units_Sold,Unit_Price,Customer_connects_count,New_customer_count,Pipeline Revenue,New_customer_acquisition_target
,CA-3697,2012,897,140.20,  935 ,  488 ,"125,759.40",976
,AL-9060,2012,759,121.00,  869 ,  349 ,"183,678.00",698
,NC-6029,2012,841,102.10,  852 ,  288 ,"85,866.10",288
,MI-1982,2012,583,147.20,  749 ,  205 ,"171,635.20",410
,VT-1811,2012,750,116.70,  810 ,  572 ,"87,525.00",1144
,NH-1753,2012,421,108.30,  597 ,  296 ,"91,188.60",592
,MI-8175,2012,163,130.00,  456 ,  87 ,"42,380.00",174
,OH-3055,2012,995,142.60,  999 ,  208 ,"141,887.00",208
,VA-2792,2012,38,128.70,  169 ,  9 ,"9,781.20",18
,OK-9908,2012,242,103.90,  318 ,  61 ,"50,287.60",122
,FL-6634,2012,766,128.70,  835 ,  711 ,"197,168.40",711
,RI-1155,2012,673,136.90,  811 ,  219 ,"92,133.70",219
,AP-3690,2012,689,142.00,  717 ,  350 ,"195,676.00",700
,IL-1673,2012,899,148.20,  947 ,  202 ,"266,463.60",404
,RI-9522,2012,423,142.60,  818 ,  41 ,"60,319.80",41
,AL-3791,2012,144,136.50,  828 ,  20 ,"39,312.00",20
,SC-8889,2012,377,109.10,  737 ,  84 ,"82,261.40",168
,SD-9820,2012,567,147.80,  925 ,  114 ,"83,802.60",114
,MS-7667,2012,489,128.60,  631 ,  65 ,"125,770.80",65
,AA-5468,2012,457,131.60,  687 ,  114 ,"120,282.40",114
,OK-7029,2012,785,105.90,  835 ,  161 ,"166,263.00",161
,AR-6505,2012,175,106.80,  209 ,  136 ,"18,690.00",272
,NH-7121,2012,184,129.70,  641 ,  169 ,"144,049.60",169
,KY-3871,2012,75,114.40,  494 ,  2 ,"17,160.00",4
,NE-5546,2012,53,147.30,  200 ,  2 ,"15,613.80",10
,OH-9268,2012,818,122.40,  848 ,  379 ,"200,246.40",379
,NY-6884,2012,81,129.60,  189 ,  31 ,"10,497.60",62
,MS-1168,2012,303,134.70,  992 ,  38 ,"40,814.10",76
,MN-3829,2012,746,131.40,  831 ,  565 ,"196,048.80",565
,DC-4818,2012,901,118.00,  971 ,  438 ,"106,318.00",876
,HI-9241,2012,204,124.30,  475 ,  57 ,"25,357.20",57
,VA-3336,2012,994,124.60,  997 ,  840 ,"123,852.40",840
,OR-8647,2012,600,111.50,  751 ,  411 ,"66,900.00",822
,ND-8927,2012,384,111.70,  657 ,  206 ,"85,785.60",412
,AL-6234,2012,562,107.60,  821 ,  472 ,"120,942.40",944
,UT-9571,2012,497,136.60,  929 ,  171 ,"67,890.20",171
,NV-9175,2012,156,132.20,  547 ,  15 ,"20,623.20",15
,ID-4433,2012,995,107.00,  999 ,  439 ,"106,465.00",439
,OR-3391,2012,486,130.10,  581 ,  8 ,"126,457.20",8
,PA-4952,2012,716,124.20,  737 ,  43 ,"88,927.20",86
,CO-4476,2012,171,134.60,  881 ,  137 ,"23,016.60",274
,HI-2254,2012,250,112.20,  471 ,  3 ,"56,100.00",6
,MI-9048,2012,988,145.80,  989 ,  401 ,"144,050.40",401
